"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 2)","normal+(0, 10)",0.833333333333333
"normal(0, 2)","normal+(0, 20)",0.689814814814815
"normal(0, 1)","normal+(0, 5)",0.657407407407407
"normal(0, 1)","normal+(0, 10)",0.638888888888889
"normal(0, 1)","normal+(0, 20)",0.416666666666667
"normal(0, 1.5)","normal+(0, 5)",0.407407407407407
"normal(0, 1.5)","normal+(0, 10)",0.74537037037037
"normal(0, 1.5)","normal+(0, 20)",0.351851851851852
"normal(0, 2)","normal+(0, 5)",0.388888888888889
"normal(0, 2)","normal+(0, 10)",0.430555555555556
"normal(0, 2)","normal+(0, 20)",0.666666666666667
"normal(0, 1)","normal+(0, 5)",0.592592592592593
"normal(0, 1)","normal+(0, 10)",0.578703703703704
"normal(0, 1)","normal+(0, 20)",0.509259259259259
"normal(0, 1.5)","normal+(0, 5)",0.388888888888889
"normal(0, 1.5)","normal+(0, 10)",0.527777777777778
"normal(0, 1.5)","normal+(0, 20)",0.884259259259259
"normal(0, 2)","normal+(0, 5)",0.402777777777778
"normal(0, 2)","normal+(0, 10)",0.527777777777778
"normal(0, 2)","normal+(0, 20)",0.680555555555556
"normal(0, 1)","normal+(0, 5)",0.393518518518519
"normal(0, 1)","normal+(0, 10)",0.328703703703704
"normal(0, 1)","normal+(0, 20)",0.50462962962963
"normal(0, 1.5)","normal+(0, 5)",0.314814814814815
"normal(0, 1.5)","normal+(0, 10)",0.513888888888889
"normal(0, 1.5)","normal+(0, 20)",0.666666666666667
"normal(0, 2)","normal+(0, 5)",0.412037037037037
"normal(0, 2)","normal+(0, 10)",0.560185185185185
"normal(0, 2)","normal+(0, 20)",0.291666666666667
"normal(0, 1)","normal+(0, 5)",0.462962962962963
"normal(0, 1)","normal+(0, 10)",0.722222222222222
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.49537037037037
"normal(0, 1.5)","normal+(0, 10)",0.523148148148148
"normal(0, 1.5)","normal+(0, 20)",0.555555555555556
"normal(0, 2)","normal+(0, 5)",0.439814814814815
"normal(0, 2)","normal+(0, 10)",0.787037037037037
"normal(0, 2)","normal+(0, 20)",0.375
"normal(0, 1)","normal+(0, 5)",0.462962962962963
"normal(0, 1)","normal+(0, 10)",0.652777777777778
"normal(0, 1)","normal+(0, 20)",0.518518518518518
"normal(0, 1.5)","normal+(0, 5)",0.564814814814815
"normal(0, 1.5)","normal+(0, 10)",0.800925925925926
"normal(0, 1.5)","normal+(0, 20)",0.722222222222222
"normal(0, 2)","normal+(0, 5)",0.671296296296296
"normal(0, 2)","normal+(0, 10)",0.148148148148148
"normal(0, 2)","normal+(0, 20)",0.555555555555556
