"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 2)","normal+(0, 10)",0.529444444444444
"normal(0, 1)","normal+(0, 3)",0.390833333333333
"normal(0, 1)","normal+(0, 5)",0.359722222222222
"normal(0, 1)","normal+(0, 10)",0.493055555555556
"normal(0, 1.5)","normal+(0, 3)",0.596388888888889
"normal(0, 1.5)","normal+(0, 5)",0.5775
"normal(0, 1.5)","normal+(0, 10)",0.415555555555556
"normal(0, 2)","normal+(0, 3)",0.403611111111111
"normal(0, 2)","normal+(0, 5)",0.6425
"normal(0, 2)","normal+(0, 10)",0.606666666666667
"normal(0, 1)","normal+(0, 3)",0.542777777777778
"normal(0, 1)","normal+(0, 5)",0.438611111111111
"normal(0, 1)","normal+(0, 10)",0.559444444444444
"normal(0, 1.5)","normal+(0, 3)",0.440833333333333
"normal(0, 1.5)","normal+(0, 5)",0.4175
"normal(0, 1.5)","normal+(0, 10)",0.597222222222222
"normal(0, 2)","normal+(0, 3)",0.548611111111111
"normal(0, 2)","normal+(0, 5)",0.528611111111111
"normal(0, 2)","normal+(0, 10)",0.42
"normal(0, 1)","normal+(0, 3)",0.450833333333333
"normal(0, 1)","normal+(0, 5)",0.624166666666667
"normal(0, 1)","normal+(0, 10)",0.477222222222222
"normal(0, 1.5)","normal+(0, 3)",0.323333333333333
"normal(0, 1.5)","normal+(0, 5)",0.453055555555556
"normal(0, 1.5)","normal+(0, 10)",0.435
"normal(0, 2)","normal+(0, 3)",0.603611111111111
"normal(0, 2)","normal+(0, 5)",0.360555555555556
"normal(0, 2)","normal+(0, 10)",0.4125
"normal(0, 1)","normal+(0, 3)",0.301111111111111
"normal(0, 1)","normal+(0, 5)",0.563055555555556
"normal(0, 1)","normal+(0, 10)",0.491666666666667
"normal(0, 1.5)","normal+(0, 3)",0.609444444444444
"normal(0, 1.5)","normal+(0, 5)",0.586944444444444
"normal(0, 1.5)","normal+(0, 10)",0.47
"normal(0, 2)","normal+(0, 3)",0.245
"normal(0, 2)","normal+(0, 5)",0.544444444444444
"normal(0, 2)","normal+(0, 10)",0.485555555555556
"normal(0, 1)","normal+(0, 3)",0.768055555555556
"normal(0, 1)","normal+(0, 5)",0.407777777777778
"normal(0, 1)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 3)",0.1825
"normal(0, 1.5)","normal+(0, 5)",0.641388888888889
"normal(0, 1.5)","normal+(0, 10)",0.537222222222222
"normal(0, 2)","normal+(0, 3)",0.565277777777778
"normal(0, 2)","normal+(0, 5)",0.364166666666667
"normal(0, 2)","normal+(0, 10)",0.469166666666667
"normal(0, 1)","normal+(0, 3)",0.4825
"normal(0, 1)","normal+(0, 5)",0.355
"normal(0, 1)","normal+(0, 10)",0.533333333333333
"normal(0, 1.5)","normal+(0, 3)",0.744444444444444
"normal(0, 1.5)","normal+(0, 5)",0.474166666666667
"normal(0, 1.5)","normal+(0, 10)",0.557777777777778
"normal(0, 2)","normal+(0, 3)",0.391388888888889
"normal(0, 2)","normal+(0, 5)",0.417222222222222
"normal(0, 2)","normal+(0, 10)",0.383611111111111
"normal(0, 1)","normal+(0, 3)",0.324444444444444
"normal(0, 1)","normal+(0, 5)",0.6375
"normal(0, 1)","normal+(0, 10)",0.526388888888889
"normal(0, 1.5)","normal+(0, 3)",0.313611111111111
"normal(0, 1.5)","normal+(0, 5)",0.687777777777778
"normal(0, 1.5)","normal+(0, 10)",0.449444444444444
"normal(0, 2)","normal+(0, 3)",0.516111111111111
"normal(0, 2)","normal+(0, 5)",0.471666666666667
"normal(0, 2)","normal+(0, 10)",0.593611111111111
"normal(0, 1)","normal+(0, 3)",0.4875
"normal(0, 1)","normal+(0, 5)",0.360277777777778
"normal(0, 1)","normal+(0, 10)",0.605833333333333
"normal(0, 1.5)","normal+(0, 3)",0.658055555555556
"normal(0, 1.5)","normal+(0, 5)",0.285555555555556
"normal(0, 1.5)","normal+(0, 10)",0.438055555555556
"normal(0, 2)","normal+(0, 3)",0.215277777777778
"normal(0, 2)","normal+(0, 5)",0.493333333333333
"normal(0, 2)","normal+(0, 10)",0.391666666666667
"normal(0, 1)","normal+(0, 3)",0.498888888888889
"normal(0, 1)","normal+(0, 5)",0.5975
"normal(0, 1)","normal+(0, 10)",0.365277777777778
"normal(0, 1.5)","normal+(0, 3)",0.316944444444444
"normal(0, 1.5)","normal+(0, 5)",0.655
"normal(0, 1.5)","normal+(0, 10)",0.481111111111111
"normal(0, 2)","normal+(0, 3)",0.659166666666667
"normal(0, 2)","normal+(0, 5)",0.715
"normal(0, 2)","normal+(0, 10)",0.519722222222222
"normal(0, 1)","normal+(0, 3)",0.529166666666667
"normal(0, 1)","normal+(0, 5)",0.288611111111111
"normal(0, 1)","normal+(0, 10)",0.674166666666667
"normal(0, 1.5)","normal+(0, 3)",0.268333333333333
"normal(0, 1.5)","normal+(0, 5)",0.520833333333333
"normal(0, 1.5)","normal+(0, 10)",0.615833333333333
"normal(0, 2)","normal+(0, 3)",0.318611111111111
"normal(0, 2)","normal+(0, 5)",0.545555555555556
"normal(0, 2)","normal+(0, 10)",0.605833333333333
"normal(0, 1)","normal+(0, 3)",0.445833333333333
"normal(0, 1)","normal+(0, 5)",0.433055555555556
"normal(0, 1)","normal+(0, 10)",0.391388888888889
"normal(0, 1.5)","normal+(0, 3)",0.613888888888889
"normal(0, 1.5)","normal+(0, 5)",0.441944444444444
"normal(0, 1.5)","normal+(0, 10)",0.648333333333333
"normal(0, 2)","normal+(0, 3)",0.449166666666667
"normal(0, 2)","normal+(0, 5)",0.468333333333333
